"","date","DLAKY","LUV","EZJ","RYAAY","UAL","AAL","SAVE","CABGY","HEINY","BUD","HARB-B.CO","DEO","TAP","TSGTF","ASBRF"
"1",2011-01-31,-0.0563505401904133,-0.104984533428692,-0.016591303941243,-0.0179948610604236,0.0107441707419087,-0.0685446709860373,NA,-0.0313252815644767,0.0140954811262446,-0.0402568748762985,-0.107843410666276,0.0326748408793631,-0.0612856399558894,-0.124282954645343,-0.0361759297521456
"2",2011-02-28,-0.0350711469729854,-0.00168804296988678,0.111324172259119,-0.066753910291075,-0.0535432677165354,-0.132056636043967,NA,0.067164149501848,0.0218429559227391,0.0130174377175862,-0.0219779864429231,0.0190101519194978,-0.0182490189158518,-0.0131004702375779,0.0450403255169005
"3",2011-03-31,0.0442043681607458,0.0680759814018597,-0.213685916889103,-0.0252454668460489,-0.0436772444393826,0.0116145098892426,NA,0.0135243185139633,0.0610183203112713,0.0203461896036048,-0.0411984911661996,-0.0135492951888432,0.0253661774388583,0.0420354262232696,-0.132888670536444
"4",2011-04-29,0.0731681331135323,-0.0696752084472858,0.0334941908202275,0.0964027959315734,-0.0073945193562418,0.0436281713550766,NA,0.0867750748947207,0.111034220923837,0.140317736285974,-0.0078123942009598,0.0675677734372018,0.0396672400145222,0.118895882243878,-0.00946737472604009
"5",2011-05-31,-0.013211850479768,0.00680822649401347,-0.0454288428440591,-0.0354329655043493,0.0582822085889569,0.00110006161371912,0.0216450216450217,-0.0149445793910743,0.00667333073739051,-0.0545569036610374,-0.0629922527695178,0.0457169467514207,-0.043076600175897,0.0910816260045866,0.135005630668794
"6",2011-06-30,0.0073869414310932,-0.0342397420780579,0.0397331997599681,-0.00204091791155925,-0.0629399999999999,-0.0208793689948193,0.0161016949152541,-0.0606847656819557,-0.000663080760835544,-0.0408399477865833,-0.0336133002425589,-0.0378422495454956,-0.0342369600386612,-0.00347814244546463,0.0678948653528273
"7",2011-07-29,-0.0765353430394957,-0.127845854213979,0.0520460366219035,-0.0732787571409831,-0.199292894356734,-0.299663064368968,0.0925771476230191,-0.0826027539574737,-0.0172468585733572,-0.00741250958987516,-0.078260899725407,-0.00769513410318057,0.00692911603328428,0.0977311630524536,0.0251357461220054
"8",2011-08-31,-0.158312781422194,-0.133986658001769,-0.166440723606312,-0.0283191993730264,0.0259381332263724,-0.10416667020812,-0.0778625954198473,-0.237424440628289,-0.15356055587385,-0.0402915336301852,-0.0804774333210893,-0.0120629068556622,-0.0215189721924015,-0.0381557258592885,0.0408650586579671
"9",2011-09-30,-0.237617860258951,-0.0672852528634823,-0.0842277304948834,-0.0253596268806187,0.0424959117805273,-0.0161002291303955,0.0347682119205297,-0.22163578949181,-0.109922315546428,-0.0412596248950911,-0.109375028745949,-0.0338686657136896,-0.0946283516718545,-0.123966886560036,-0.0531174723867861
"10",2011-10-31,0.0556844849528064,0.0634327943962347,-0.0227271913084968,0.117281587009301,-0.00309592379235935,0.0490910647824392,0.31679992,0.173728592534018,0.0939896446260577,0.0469987756625176,0.105263219223786,0.0915313835947607,0.0689218265618428,-0.052830454925113,0.0512192081254825
"11",2011-11-30,-0.0454213303445351,-0.0198831545038871,-0.00199857185135865,0.045881122273582,-0.0698758281573498,-0.181975796466628,-0.0200486038911666,0.053429628483213,-0.0305657277436137,0.0816658040413989,-0.0687830304964885,0.0329394672894974,-0.033190246317789,0.0756972696375093,-0.0547561877745815
"12",2011-12-30,-0.0959323652143148,0.0220832609338977,-0.0464227826396972,-0.0741110379819234,0.050083586537762,0.0741526471209553,-0.0328579685590806,-0.0376971431216629,-0.0187471697078559,0.0164999438144329,-0.0170454285224226,0.021142224161298,0.0726778236160281,0.018518499659969,0.0677466676598779
"13",2012-01-31,0.179966058799282,0.11915876702869,0.0927837161153642,0.203876734536994,0.224165276938777,0.664693600016737,0.0762821153846154,0.0833334044096061,0.00434209529243645,-0.00311514347303599,0.0982656735263276,0.0133836221438952,-0.0149289348838725,-0.0236363600005599,0.0160919479664088
"14",2012-02-29,-0.00431651255050403,-0.0620987845457583,0.0922429698592595,-0.000596419837799012,-0.106060606060606,-0.122037730044078,0.163192366694916,0.0433924684384628,0.137483980132441,0.106085347883281,0.0210525713649667,0.090614074455369,0.02448153825649,0.00558660705325265,0.0208143015383084
"15",2012-03-30,0.0158959146971758,-0.082405305250466,0.0350289907667332,0.0823388762746047,0.0411622276029056,0.0242914324863572,0.0276497169662204,0.0726515309687763,0.0551119097749344,0.0813382359016603,-0.113402059328822,0.00983671105489115,0.0373681516943205,-0.00925914799381744,-0.0372340860577702
"16",2012-04-30,-0.0775248819234466,0.00485418668224025,-0.0882398334783664,-0.0719405526954366,0.0195348837209304,0.351778731803795,0.196811160936721,0.0303210260057409,0.000544291311798784,0.0209629572552359,0.0406977840973888,0.0478757894324402,-0.081105040355783,0.12149529251996,0
"17",2012-05-31,-0.167564631082565,0.0905798610259763,-0.169661013317534,-0.0882090413479941,0.148266423357664,0.288499065445876,-0.141964987510408,-0.12867861524193,-0.130926315026914,-0.0677499886003714,0.0055865506255639,-0.0571598933462878,-0.0677431043439922,0.0333331133672301,-0.0124307036787361
"18",2012-06-29,0.0922052752291005,0.0221831310946394,0.140844863775636,-0.00977193793092179,-0.0333730631704411,0.008320841733503,-0.0557982505677705,0.0450331366611745,0.0969365091063144,0.176514019081479,0,0.081078320108495,0.0821845719562475,-0.0887095100413661,0
